CustomerID,Recency,Frequency,Monetary
12346.0,326,1,5728180874.0
12347.0,2,7,116628.0
12348.0,75,4,139471.2
12349.0,19,1,14035.11
12350.0,310,1,3694.4
12352.0,36,8,10530.5
12353.0,204,1,398.0
12354.0,232,1,12516.779999999999
12355.0,214,1,18162.8
12356.0,23,3,81295.45
12357.0,33,1,166762.53
12358.0,2,2,16942.600000000002
12359.0,58,4,34494.15
12360.0,52,3,21833.42
12361.0,287,1,1802.3999999999999
12362.0,3,10,42629.79
12363.0,110,2,10499.039999999999
12364.0,8,4,30817.98
12365.0,291,2,2918.12
12367.0,4,1,2445.6
12370.0,51,4,95320.87999999999
12371.0,45,2,20019.22
12372.0,72,3,22028.16
12373.0,311,1,5374.8
12374.0,25,1,7099.15
12375.0,11,2,5578.200000000001
12377.0,315,2,19396.72
12378.0,130,1,60787.64
12379.0,82,2,9365.24
12380.0,22,4,41793.85
12381.0,5,5,15761.01
12383.0,185,5,31921.18
12384.0,29,2,2393.9500000000003
12386.0,338,2,18110.199999999997
12388.0,16,6,47157.22
12390.0,80,1,5580.26
12391.0,22,1,3131.36
12393.0,72,4,27549.7
12394.0,64,2,130181.44
12395.0,19,12,63035.729999999996
12397.0,36,2,21569.86
12398.0,46,1,23868.739999999998
12399.0,119,4,28619.05
12401.0,303,1,190.5
12402.0,323,1,1976.4
12403.0,50,1,12641.4
12405.0,149,1,22009.77
12406.0,22,2,70540.8
12407.0,50,5,50677.92
12408.0,33,5,54771.71
12409.0,79,3,586648.47
12410.0,309,2,5187.2699999999995
12412.0,75,3,17084.739999999998
12413.0,67,3,5300.1
12414.0,217,3,9659.01
12415.0,24,21,20348819.89
12417.0,3,9,27748.3
12418.0,113,1,6698.9400000000005
12420.0,64,1,6323.35
12421.0,16,4,7765.9
12422.0,96,3,7020.82
12423.0,1,8,18840.61
12424.0,163,2,79477.40000000001
12425.0,78,1,15191.48
12426.0,195,1,4706.81
12427.0,22,3,23741.34
12428.0,26,9,85227.3
12429.0,9,4,73378.0
12430.0,43,1,2096.96
12431.0,36,15,423742.29000000004
12432.0,43,5,100182.0
12433.0,1,7,485787.97000000003
12434.0,85,2,6190.62
12435.0,80,2,460258.81000000006
12436.0,100,1,5042.57
12437.0,2,18,82076.97
12438.0,14,2,36558.89
12441.0,367,1,1586.5500000000002
12442.0,3,1,2377.7799999999997
12444.0,21,5,32013.96
12445.0,22,1,1760.8
12446.0,58,1,5843.53
12447.0,243,1,3452.6699999999996
12448.0,44,1,3983.0299999999997
12449.0,22,4,32805.19
12450.0,156,2,4457.76
12451.0,11,5,216922.56
12452.0,17,2,3306.91
12453.0,134,1,7439.99
12454.0,56,1,271001.72
12455.0,73,6,116887.38
12456.0,44,3,41420.62
12457.0,66,7,63413.97
12458.0,71,2,13566.9
12461.0,94,2,5516.62
12462.0,19,2,9541.13
12463.0,53,4,11918.98
12464.0,10,8,5339.45
12465.0,17,2,8030.03
12468.0,188,2,7532.18
12471.0,2,30,554241.37
12472.0,32,7,87087.01
12473.0,29,5,42774.65
